year	body	body_name	records
1995	1	Equality Tribunal	0
1995	15376	Workplace Relations Commission	0
1995	2	Employment Appeals Tribunal	0
1995	3	Labour Court	540
1996	1	Equality Tribunal	53
1996	15376	Workplace Relations Commission	0
1996	2	Employment Appeals Tribunal	0
1996	3	Labour Court	458
1997	1	Equality Tribunal	42
1997	15376	Workplace Relations Commission	0
1997	2	Employment Appeals Tribunal	0
1997	3	Labour Court	428
1998	1	Equality Tribunal	41
1998	15376	Workplace Relations Commission	0
1998	2	Employment Appeals Tribunal	0
1998	3	Labour Court	460
1999	1	Equality Tribunal	102
1999	15376	Workplace Relations Commission	0
1999	2	Employment Appeals Tribunal	0
1999	3	Labour Court	472
2000	1	Equality Tribunal	42
2000	15376	Workplace Relations Commission	0
2000	2	Employment Appeals Tribunal	0
2000	3	Labour Court	433
2001	1	Equality Tribunal	66
2001	15376	Workplace Relations Commission	0
2001	2	Employment Appeals Tribunal	0
2001	3	Labour Court	472
2002	1	Equality Tribunal	119
2002	15376	Workplace Relations Commission	0
2002	2	Employment Appeals Tribunal	0
2002	3	Labour Court	535
2003	1	Equality Tribunal	147
2003	15376	Workplace Relations Commission	0
2003	2	Employment Appeals Tribunal	0
2003	3	Labour Court	569
2004	1	Equality Tribunal	187
2004	15376	Workplace Relations Commission	0
2004	2	Employment Appeals Tribunal	0
2004	3	Labour Court	545
2005	1	Equality Tribunal	140
2005	15376	Workplace Relations Commission	0
2005	2	Employment Appeals Tribunal	0
2005	3	Labour Court	593
2006	1	Equality Tribunal	157
2006	15376	Workplace Relations Commission	0
2006	2	Employment Appeals Tribunal	0
2006	3	Labour Court	567
2007	1	Equality Tribunal	178
2007	15376	Workplace Relations Commission	0
2007	2	Employment Appeals Tribunal	626
2007	3	Labour Court	498
2008	1	Equality Tribunal	197
2008	15376	Workplace Relations Commission	0
2008	2	Employment Appeals Tribunal	1057
2008	3	Labour Court	594
2009	1	Equality Tribunal	216
2009	15376	Workplace Relations Commission	0
2009	2	Employment Appeals Tribunal	1569
2009	3	Labour Court	564
2010	1	Equality Tribunal	322
2010	15376	Workplace Relations Commission	0
2010	2	Employment Appeals Tribunal	2076
2010	3	Labour Court	686
2011	1	Equality Tribunal	341
2011	15376	Workplace Relations Commission	0
2011	2	Employment Appeals Tribunal	2547
2011	3	Labour Court	654
2012	1	Equality Tribunal	246
2012	15376	Workplace Relations Commission	0
2012	2	Employment Appeals Tribunal	2833
2012	3	Labour Court	613
2013	1	Equality Tribunal	225
2013	15376	Workplace Relations Commission	0
2013	2	Employment Appeals Tribunal	2224
2013	3	Labour Court	612
2014	1	Equality Tribunal	132
2014	15376	Workplace Relations Commission	0
2014	2	Employment Appeals Tribunal	1391
2014	3	Labour Court	554
2015	1	Equality Tribunal	174
2015	15376	Workplace Relations Commission	0
2015	2	Employment Appeals Tribunal	1056
2015	3	Labour Court	517
2016	1	Equality Tribunal	34
2016	15376	Workplace Relations Commission	1350
2016	2	Employment Appeals Tribunal	869
2016	3	Labour Court	580
2017	1	Equality Tribunal	1
2017	15376	Workplace Relations Commission	2147
2017	2	Employment Appeals Tribunal	256
2017	3	Labour Court	518
2018	1	Equality Tribunal	0
2018	15376	Workplace Relations Commission	2778
2018	2	Employment Appeals Tribunal	11
2018	3	Labour Court	492
2019	1	Equality Tribunal	0
2019	15376	Workplace Relations Commission	2854
2019	2	Employment Appeals Tribunal	4
2019	3	Labour Court	592
2020	1	Equality Tribunal	8
2020	15376	Workplace Relations Commission	1572
2020	2	Employment Appeals Tribunal	3
2020	3	Labour Court	338
2021	1	Equality Tribunal	0
2021	15376	Workplace Relations Commission	1544
2021	2	Employment Appeals Tribunal	0
2021	3	Labour Court	427
2022	1	Equality Tribunal	0
2022	15376	Workplace Relations Commission	1993
2022	2	Employment Appeals Tribunal	1
2022	3	Labour Court	472
2023	1	Equality Tribunal	0
2023	15376	Workplace Relations Commission	2913
2023	2	Employment Appeals Tribunal	2
2023	3	Labour Court	427
2024	1	Equality Tribunal	0
2024	15376	Workplace Relations Commission	2736
2024	2	Employment Appeals Tribunal	1
2024	3	Labour Court	508
2025	1	Equality Tribunal	0
2025	15376	Workplace Relations Commission	2581
2025	2	Employment Appeals Tribunal	0
2025	3	Labour Court	361
2026	1	Equality Tribunal	0
2026	15376	Workplace Relations Commission	1508
2026	2	Employment Appeals Tribunal	1
2026	3	Labour Court	277
